location,player,player_id,position,shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle
"[94.3, 53.2]",Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,0,0,0.023695307,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94.3,53.2,28.891694308226374,14.096658415371651
"[90.9, 42.7]",Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,0,0,0.048151042,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,90.9,42.7,29.224989307098124,15.523758403002262
"[111.9, 52.8]",Harry Kane,10955.0,Center Forward,0,0,0.06784538,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,111.9,52.8,15.147607071745682,16.887449453977943
"[104.4, 31.5]",Erik Lamela,3585.0,Left Wing,0,0,0.06224912,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,104.4,31.5,17.765415840897163,22.613754223875606
"[113.8, 47.2]",Toby Alderweireld,20005.0,Right Center Back,1,0,0.04390057,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,113.8,47.2,9.501578816175765,33.732767142603144
"[111.2, 41.1]",Nacer Chadli,4831.0,Right Wing,1,0,0.07650593,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,111.2,41.1,8.868483523128402,48.33364232309617
"[110.1, 58.5]",Erik Lamela,3585.0,Left Wing,0,0,0.013367671,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,110.1,58.5,20.98237355496275,10.574149824437436
"[107.1, 46.8]",Mousa Sidi Yaya Dembélé,3037.0,Left Defensive Midfield,0,0,0.07097535,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,107.1,46.8,14.58252378705415,27.690050287289502
"[102.5, 30.3]",Ben Davies,3086.0,Left Back,0,1,0.10011574,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,102.5,30.3,20.008498194517248,20.014699892171592
"[112.2, 26.0]",Ben Davies,3086.0,Left Back,0,0,0.052077226,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,112.2,26.0,16.0262285020525,14.52553806638711
"[113.7, 47.1]",Nacer Chadli,4831.0,Left Wing,0,0,0.11686501,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,113.7,47.1,9.492101980067428,34.22204647739133
"[97.2, 64.1]",Almen Abdi,43081.0,Right Wing,0,1,0.015180976,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,97.2,64.1,33.17604557508323,9.545821222236265
"[105.2, 60.2]",Erik Lamela,3585.0,Right Wing,0,0,0.0076306253,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,105.2,60.2,25.041565446273523,10.965490384521862
"[112.4, 43.8]",Harry Kane,10955.0,Center Forward,0,1,0.13753642,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,112.4,43.8,8.497058314499194,47.25149496166372
"[115.9, 52.7]",Erik Lamela,3585.0,Left Wing,0,1,0.025354078,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,115.9,52.7,13.345411196362592,11.439022711031779
